company,source,page,unit,side,block,row_index,item,col_index,equity_component,is_total_col,kind,value
SCB,1q26-financial-statement-note-th_SCB.pdf,9,thousand,con,0,17,เงินปันผลจ่าย 12,9,ทุนสารอง,False,movement,
SCB,1q26-financial-statement-note-th_SCB.pdf,9,thousand,con,0,17,เงินปันผลจ่าย 12,10,กาไรสะสม ยังไม่ได้จดั สรร ของธนาคาร,False,movement,-30014867.0
SCB,1q26-financial-statement-note-th_SCB.pdf,9,thousand,con,0,17,เงินปันผลจ่าย 12,11,รวมส่ วนที่เป็ น,False,movement,-30014867.0
SCB,1q26-financial-statement-note-th_SCB.pdf,9,thousand,con,0,17,เงินปันผลจ่าย 12,12,ส่ วนได้เสี ยที่ ไม่มีอานาจ ควบคุม,False,movement,
SCB,1q26-financial-statement-note-th_SCB.pdf,9,thousand,con,0,17,เงินปันผลจ่าย 12,13,รวม,True,movement,-30014867.0
SCB,1q26-financial-statement-note-th_SCB.pdf,9,thousand,con,0,18,รวมรายการกับผู้ถือหุ้นที่บันทึกโดยตรงเข้ าส่ วนของเจ้ าของ,0,ทุนที่ออกและชาระแล้ว บุริมสิ ทธิ,False,movement,
SCB,1q26-financial-statement-note-th_SCB.pdf,9,thousand,con,0,18,รวมรายการกับผู้ถือหุ้นที่บันทึกโดยตรงเข้ าส่ วนของเจ้ าของ,1,หุน้ สามัญ,False,movement,
SCB,1q26-financial-statement-note-th_SCB.pdf,9,thousand,con,0,18,รวมรายการกับผู้ถือหุ้นที่บันทึกโดยตรงเข้ าส่ วนของเจ้ าของ,2,ส่ หุน้ บุริมสิ ทธิ,False,movement,
SCB,1q26-financial-statement-note-th_SCB.pdf,9,thousand,con,0,18,รวมรายการกับผู้ถือหุ้นที่บันทึกโดยตรงเข้ าส่ วนของเจ้ าของ,3,วนเกินมูลค่าหุน้ หุน้ สามัญ,False,movement,
SCB,1q26-financial-statement-note-th_SCB.pdf,9,thousand,con,0,18,รวมรายการกับผู้ถือหุ้นที่บันทึกโดยตรงเข้ าส่ วนของเจ้ าของ,4,กาไร (ขาดทุน) จากการวัด มูลค่าเงินลงทุน ในตราสารหนี้ ด้วยมูลค่ายุติธรรม ผ่านกาไรขาดทุน เบ็ดเสร็ จอื่น,False,movement,
SCB,1q26-financial-statement-note-th_SCB.pdf,9,thousand,con,0,18,รวมรายการกับผู้ถือหุ้นที่บันทึกโดยตรงเข้ าส่ วนของเจ้ าของ,5,องค์ประกอบอื่นของส่ ขาดทุน จากการแปลงค่า งบการเงิน จากการ ดาเนิ นงาน ในต่างประเทศ,False,movement,
SCB,1q26-financial-statement-note-th_SCB.pdf,9,thousand,con,0,18,รวมรายการกับผู้ถือหุ้นที่บันทึกโดยตรงเข้ าส่ วนของเจ้ าของ,6,งบการเงินรวม วนของเจ้าของ กาไร จากเงินลงทุน ในตราสารทุน ที่กาหนดให้วดั มูลค่า ด้วยมูลค่ายุติธรรม ผ่านกาไรขาดทุน เบ็ดเสร็ จอื่น (พันบาท),False,movement,
SCB,1q26-financial-statement-note-th_SCB.pdf,9,thousand,con,0,18,รวมรายการกับผู้ถือหุ้นที่บันทึกโดยตรงเข้ าส่ วนของเจ้ าของ,7,การเปลี่ยนแปลง ในส่ วนเกินทุน จากการตีราคา สิ นทรัพย์,False,movement,
SCB,1q26-financial-statement-note-th_SCB.pdf,9,thousand,con,0,18,รวมรายการกับผู้ถือหุ้นที่บันทึกโดยตรงเข้ าส่ วนของเจ้ าของ,8,รวม องค์ประกอบ อื่นของส่ วน ของเจ้าของ ตามกฎหมาย,False,movement,
SCB,1q26-financial-statement-note-th_SCB.pdf,9,thousand,con,0,18,รวมรายการกับผู้ถือหุ้นที่บันทึกโดยตรงเข้ าส่ วนของเจ้ าของ,9,ทุนสารอง,False,movement,
SCB,1q26-financial-statement-note-th_SCB.pdf,9,thousand,con,0,18,รวมรายการกับผู้ถือหุ้นที่บันทึกโดยตรงเข้ าส่ วนของเจ้ าของ,10,กาไรสะสม ยังไม่ได้จดั สรร ของธนาคาร,False,movement,-30014867.0
SCB,1q26-financial-statement-note-th_SCB.pdf,9,thousand,con,0,18,รวมรายการกับผู้ถือหุ้นที่บันทึกโดยตรงเข้ าส่ วนของเจ้ าของ,11,รวมส่ วนที่เป็ น,False,movement,-30014867.0
SCB,1q26-financial-statement-note-th_SCB.pdf,9,thousand,con,0,18,รวมรายการกับผู้ถือหุ้นที่บันทึกโดยตรงเข้ าส่ วนของเจ้ าของ,12,ส่ วนได้เสี ยที่ ไม่มีอานาจ ควบคุม,False,movement,
SCB,1q26-financial-statement-note-th_SCB.pdf,9,thousand,con,0,18,รวมรายการกับผู้ถือหุ้นที่บันทึกโดยตรงเข้ าส่ วนของเจ้ าของ,13,รวม,True,movement,-30014867.0
SCB,1q26-financial-statement-note-th_SCB.pdf,9,thousand,con,0,21,กาไรสุทธิ,0,ทุนที่ออกและชาระแล้ว บุริมสิ ทธิ,False,movement,
SCB,1q26-financial-statement-note-th_SCB.pdf,9,thousand,con,0,21,กาไรสุทธิ,1,หุน้ สามัญ,False,movement,
SCB,1q26-financial-statement-note-th_SCB.pdf,9,thousand,con,0,21,กาไรสุทธิ,2,ส่ หุน้ บุริมสิ ทธิ,False,movement,
SCB,1q26-financial-statement-note-th_SCB.pdf,9,thousand,con,0,21,กาไรสุทธิ,3,วนเกินมูลค่าหุน้ หุน้ สามัญ,False,movement,
SCB,1q26-financial-statement-note-th_SCB.pdf,9,thousand,con,0,21,กาไรสุทธิ,4,กาไร (ขาดทุน) จากการวัด มูลค่าเงินลงทุน ในตราสารหนี้ ด้วยมูลค่ายุติธรรม ผ่านกาไรขาดทุน เบ็ดเสร็ จอื่น,False,movement,
SCB,1q26-financial-statement-note-th_SCB.pdf,9,thousand,con,0,21,กาไรสุทธิ,5,องค์ประกอบอื่นของส่ ขาดทุน จากการแปลงค่า งบการเงิน จากการ ดาเนิ นงาน ในต่างประเทศ,False,movement,
