concept,alias,note
DEFERRED_TAX_ASSETS,สินทรัพย์ภาษีเงินได้รอตัดบัญชี,BBIK สะกดสั้นกว่า
OTHER_NONCURRENT_ASSETS,สินทรัพย์ไม่หมุนเวียนอื่น,
BANK_OVERDRAFT,เงินเบิกเกินบัญชีจากสถาบันการเงิน,
SHORT_TERM_BORROWINGS,เงินกู้ยืมระยะสั้นจากสถาบันการเงิน,
CURRENT_PORTION_LT_BORROWINGS,เงินกู้ยืมระยะยาวจากสถาบันการเงินที่ถึงกำหนดชำระภายในหนึ่งปี,v3 IIG ชื่อถูกตัดขึ้นบรรทัดใหม่
CURRENT_PORTION_LT_BORROWINGS,ส่วนของเงินกู้ยืมระยะยาวที่ถึงกำหนดชำระภายในหนึ่งปี,v3
TRADE_PAYABLES,เจ้าหนี้การค้า,
TRADE_PAYABLES,เจ้าหนี้การค้าและเจ้าหนี้หมุนเวียนอื่น,
TRADE_PAYABLES,เจ้าหนี้การค้าและเจ้าหนี้อื่น,
OTHER_PAYABLES,เจ้าหนี้อื่น,
OTHER_PAYABLES,เจ้าหนี้หมุนเวียนอื่น,
CONTRACT_LIABILITIES,หนี้สินที่เกิดจากสัญญา,
DEFERRED_REVENUE,รายได้รับล่วงหน้า,
DEFERRED_REVENUE_CURRENT,รายได้รับล่วงหน้าส่วนที่จะรับรู้เป็นรายได้ภายในหนึ่งปี,v3 IIG ชื่อถูกตัดขึ้นบรรทัดใหม่
ACCRUED_EXPENSES,ค่าใช้จ่ายค้างจ่าย,
INCOME_TAX_PAYABLE,ภาษีเงินได้นิติบุคคลค้างจ่าย,
INCOME_TAX_PAYABLE,ภาษีเงินได้ค้างจ่าย,
WARRANTY_PROVISION,ประมาณการรับประกันคุณภาพงาน,
LITIGATION_PROVISION,ประมาณการหนี้สินค่าเสียหายจากการฟ้องร้อง,v3 MFEC ชื่อถูกตัดขึ้นบรรทัดใหม่
OTHER_CURRENT_LIAB,หนี้สินหมุนเวียนอื่น,
OTHER_CURRENT_FIN_LIAB,หนี้สินทางการเงินหมุนเวียนอื่น,
LEASE_LIABILITIES,หนี้สินตามสัญญาเช่า,
CURRENT_LEASE_LIABILITIES,ส่วนของหนี้สินตามสัญญาเช่าที่ถึงกำหนดชำระภายในหนึ่งปี,v3 MFEC/GABLE ชื่อถูกตัดขึ้นบรรทัดใหม่
CURRENT_LEASE_LIABILITIES,หนี้สินตามสัญญาเช่าที่ถึงกำหนดชำระภายในหนึ่งปี,v3 IIG
EMPLOYEE_BENEFIT_PROVISION,ประมาณการหนี้สินสำหรับผลประโยชน์พนักงาน,
EMPLOYEE_BENEFIT_PROVISION,ประมาณการหนี้สินไม่หมุนเวียนสำหรับผลประโยชน์พนักงาน,
DECOMMISSIONING_PROVISION,ประมาณการหนี้สินจากการรื้อถอน,
DECOMMISSIONING_PROVISION,ประมาณการต้นทุนการรื้อถอน,
OTHER_NONCURRENT_LIAB,หนี้สินไม่หมุนเวียนอื่น,
SHARE_CAPITAL,ทุนออกจำหน่ายและชำระเต็มมูลค่าแล้ว,
SHARE_CAPITAL,ทุนที่ออกและชำระแล้ว,
SHARE_CAPITAL,ทุนออกจำหน่ายและชำระแล้ว,
REGISTERED_CAPITAL,ทุนจดทะเบียน,
SHARE_PREMIUM,ส่วนเกินมูลค่าหุ้นสามัญ,
SHARE_PREMIUM,ส่วนเกินมูลค่าหุ้น,
SHARE_SWAP_SURPLUS,ส่วนเกินทุนจากการแลกหุ้น,BBIK
OWNERSHIP_CHANGE_RESERVE,ส่วนต่ำจากการเปลี่ยนแปลงสัดส่วนการลงทุนในบริษัทย่อย,v3 BBIK
OWNERSHIP_CHANGE_RESERVE,ส่วนเกินจากการเปลี่ยนแปลงสัดส่วนการลงทุนในบริษัทย่อย,v3
BUSINESS_COMBINATION_SURPLUS,ส่วนเกินจากการรวมธุรกิจภายใต้การควบคุมเดียวกัน,
BUSINESS_COMBINATION_SURPLUS,ส่วนต่ำกว่าทุนจากการรวมธุรกิจภายใต้การควบคุมเดียวกัน,
SHARE_BASED_PAYMENT_RESERVE,สำรองส่วนทุนจากการจ่ายโดยใช้หุ้นเป็นเกณฑ์,
SHARE_BASED_PAYMENT_RESERVE,ส่วนเกินทุนจากการจ่ายโดยใช้หุ้นเป็นเกณฑ์,
LEGAL_RESERVE,สำรองตามกฎหมาย,
LEGAL_RESERVE,ทุนสำรองตามกฎหมาย,
LEGAL_RESERVE,จัดสรรแล้ว - สำรองตามกฎหมาย,
TREASURY_STOCK,หุ้นทุนซื้อคืน,
RETAINED_EARNINGS,ยังไม่ได้จัดสรร,
RETAINED_EARNINGS,กำไรสะสมยังไม่ได้จัดสรร,
OTHER_EQUITY_COMPONENTS,องค์ประกอบอื่นของส่วนของผู้ถือหุ้น,
OTHER_EQUITY_COMPONENTS,องค์ประกอบอื่นของส่วนของเจ้าของ,
NCI,ส่วนของผู้มีส่วนได้เสียที่ไม่มีอำนาจควบคุมของบริษัทย่อย,
NCI,ส่วนได้เสียที่ไม่มีอำนาจควบคุม,
REVENUE,รายได้จากการขายและให้บริการ,
REVENUE,รายได้จากการขายสินค้าและการให้บริการ,
REVENUE,รายได้จากการขายและการให้บริการ,
REVENUE_SERVICE,รายได้จากการให้บริการ,BBIK แยกเฉพาะบริการ
TOTAL_REVENUE,รวมรายได้,
COGS,ต้นทุนขายและให้บริการ,
COGS,ต้นทุนขายสินค้าและต้นทุนการให้บริการ,
COGS_SERVICE,ต้นทุนการให้บริการ,
GROSS_PROFIT,กำไรขั้นต้น,
SELLING_EXPENSES,ค่าใช้จ่ายในการขาย,
SELLING_EXPENSES,ค่าใช้จ่ายในการขายและจัดจำหน่าย,
ADMIN_EXPENSES,ค่าใช้จ่ายในการบริหาร,
TOTAL_EXPENSES,รวมค่าใช้จ่าย,
OTHER_INCOME,รายได้อื่น,
DIVIDEND_INCOME,รายได้เงินปันผล,
DIVIDEND_INCOME,เงินปันผลรับ,
FX_GAIN,กำไรจากอัตราแลกเปลี่ยน,
FINANCE_INCOME,รายได้ทางการเงิน,
FINANCE_INCOME,รายได้ดอกเบี้ย,
FINANCE_COST,ต้นทุนทางการเงิน,
SHARE_OF_PROFIT_ASSOCIATE,ส่วนแบ่งกำไรของบริษัทร่วมและการร่วมค้าที่ใช้วิธีส่วนได้เสีย,
SHARE_OF_PROFIT_ASSOCIATE,ส่วนแบ่งกำไร (ขาดทุน) จากเงินลงทุนในบริษัทร่วม,
OPERATING_PROFIT,กำไรจากกิจกรรมดำเนินงาน,
OPERATING_PROFIT,กำไร (ขาดทุน) จากการดำเนินงาน,
PROFIT_BEFORE_TAX,กำไรก่อนภาษีเงินได้,
PROFIT_BEFORE_TAX,กำไร (ขาดทุน) ก่อนค่าใช้จ่ายภาษีเงินได้,
INCOME_TAX_EXPENSE,ค่าใช้จ่ายภาษีเงินได้,
NET_PROFIT,กำไรสำหรับงวด,
NET_PROFIT,กำไร (ขาดทุน) สำหรับงวด,
NET_PROFIT,กำไรสุทธิ,
OCI_TOTAL,กำไร (ขาดทุน) เบ็ดเสร็จอื่นสำหรับงวด,
OCI_TOTAL,กำไรขาดทุนเบ็ดเสร็จอื่นสำหรับงวด,
TOTAL_COMPREHENSIVE_INCOME,กำไรเบ็ดเสร็จรวมสำหรับงวด,
TOTAL_COMPREHENSIVE_INCOME,กำไรขาดทุนเบ็ดเสร็จรวมสำหรับงวด,
FX_TRANSLATION,ผลต่างของอัตราแลกเปลี่ยนจากการแปลงค่างบการเงิน,
EPS,กำไรต่อหุ้นขั้นพื้นฐาน,
EPS,กำไร (ขาดทุน) ต่อหุ้นขั้นพื้นฐาน,
CONTRACT_ASSETS_CURRENT,สินทรัพย์ที่เกิดจากสัญญา - หมุนเวียน,v4 BBIK
CONTRACT_ASSETS_NONCURRENT,สินทรัพย์ที่เกิดจากสัญญา - ไม่หมุนเวียน,v4
CONTRACT_ACQUISITION_COST_CURRENT,ต้นทุนในการได้มาซึ่งสัญญาที่ทำกับลูกค้า - หมุนเวียน,v4 BBIK
CONTRACT_ACQUISITION_COST_NONCURRENT,ต้นทุนในการได้มาซึ่งสัญญาที่ทำกับลูกค้า - ไม่หมุนเวียน,v4
UNBILLED_RECEIVABLES_CURRENT,ลูกหนี้ตามสัญญาให้บริการที่ยังไม่ได้เรียกเก็บ - หมุนเวียน,v4 IIG
UNBILLED_RECEIVABLES_NONCURRENT,ลูกหนี้ตามสัญญาให้บริการที่ยังไม่ได้เรียกเก็บ - ไม่หมุนเวียน,v4 IIG
DEFERRED_REVENUE_NONCURRENT,รายได้รับล่วงหน้า - ไม่หมุนเวียน,v4 IIG
SHARE_CAPITAL_DESC,หุ้นสามัญ 441453555 หุ้น มูลค่าหุ้นละ 1 บาท,v4 MFEC จดทะเบียน=ออกจำหน่าย ค่าเท่ากัน
SHARE_CAPITAL_DESC,หุ้นสามัญ 707500000 หุ้น มูลค่าหุ้นละ 1 บาท,v4 GABLE ทุนจดทะเบียน (ground truth เก็บบรรทัดนี้)
ISSUED_CAPITAL_DESC,หุ้นสามัญ 700021420 หุ้น มูลค่าหุ้นละ 1 บาท,v4 GABLE ทุนที่ออกและชำระแล้ว
SHARE_CAPITAL_DESC,หุ้นสามัญจำนวน 123376607 หุ้น มูลค่าตราไว้หุ้นละ 0.50 บาท,v4 IIG ทุนที่ออกและชำระแล้ว (ground truth เก็บบรรทัดนี้)
REGISTERED_CAPITAL_DESC,หุ้นสามัญจำนวน 165671320 หุ้น มูลค่าตราไว้หุ้นละ 0.50 บาท,v4 IIG ทุนจดทะเบียน
